constellation,number_of_satellites,subscribers_low,subscribers_baseline,subscribers_high,capex_costs,opex_costs,total_cost_ownership,assessment_period_year
Starlink,4425,2500000,3500000,4500000,2684507250,2203589021.3892,4888096271.3892,5
Starlink,4425,2500000,3500000,4500000,2049317100,1418116875.562624,3467433975.562624,5
Starlink,4425,2500000,3500000,4500000,1998089175,2465271563.4237895,4463360738.423789,5
Starlink,4425,2500000,3500000,4500000,2790161025,1226437211.5759463,4016598236.5759463,5
Starlink,4425,2500000,3500000,4500000,2160351750,1609425039.2745264,3769776789.2745266,5
Starlink,4425,2500000,3500000,4500000,1941765975,1680441823.779863,3622207798.7798634,5
Starlink,4425,2500000,3500000,4500000,2812088250,1639060532.8572364,4451148782.857237,5
Starlink,4425,2500000,3500000,4500000,2472415575,2438678842.1440563,4911094417.144056,5
Starlink,4425,2500000,3500000,4500000,2264536875,1314928385.7449057,3579465260.7449055,5
Starlink,4425,2500000,3500000,4500000,2412129075,2515729783.8499,4927858858.8499,5
Starlink,4425,2500000,3500000,4500000,2731909200,1634299009.123582,4366208209.123582,5
Starlink,4425,2500000,3500000,4500000,2696905650,1397697956.4176908,4094603606.4176908,5
Starlink,4425,2500000,3500000,4500000,1995283950,2017709799.0849752,4012993749.0849752,5
Starlink,4425,2500000,3500000,4500000,2640777750,1541406812.757124,4182184562.757124,5
Starlink,4425,2500000,3500000,4500000,2318711175,1766273602.1014917,4084984777.1014915,5
Starlink,4425,2500000,3500000,4500000,2832219300,1450998563.272639,4283217863.2726393,5
Starlink,4425,2500000,3500000,4500000,1978570125,1649823423.7744665,3628393548.7744665,5
Starlink,4425,2500000,3500000,4500000,2417997000,1873461140.2725468,4291458140.272547,5
Starlink,4425,2500000,3500000,4500000,2337702300,2354847224.1447287,4692549524.144729,5
Starlink,4425,2500000,3500000,4500000,2417780250,2166377805.476321,4584158055.476321,5
Starlink,4425,2500000,3500000,4500000,2253481425,2445970663.6466084,4699452088.646608,5
Starlink,4425,2500000,3500000,4500000,2202095625,2364661964.126846,4566757589.126845,5
Starlink,4425,2500000,3500000,4500000,2526447825,1596903464.5297627,4123351289.5297627,5
Starlink,4425,2500000,3500000,4500000,2777839500,1897123537.8610177,4674963037.861017,5
Starlink,4425,2500000,3500000,4500000,2773803525,1426561046.36101,4200364571.36101,5
Starlink,4425,2500000,3500000,4500000,2225018475,2355776900.5332413,4580795375.533241,5
Starlink,4425,2500000,3500000,4500000,2210999625,1515554885.2596784,3726554510.259679,5
Starlink,4425,2500000,3500000,4500000,2072782650,1424129487.1686502,3496912137.16865,5
Starlink,4425,2500000,3500000,4500000,2773826025,2547215811.9150085,5321041836.915009,5
Starlink,4425,2500000,3500000,4500000,2550975300,1362720625.119589,3913695925.1195893,5
Starlink,4425,2500000,3500000,4500000,2257298625,2437125027.9205656,4694423652.920566,5
Starlink,4425,2500000,3500000,4500000,2402400750,1980728350.20002,4383129100.20002,5
Starlink,4425,2500000,3500000,4500000,2058009225,2170585149.8456926,4228594374.8456926,5
Starlink,4425,2500000,3500000,4500000,2170868625,1927900575.0382369,4098769200.0382366,5
